name,temp,humidity,cloudiness,wind_speed,latitude
Rantepao,67.59,95,100,2.42,-2.97
Muisne,78.8,88,90,6.93,0.61
Nome,71.28,43,1,9.17,30.04
Aykhal,-9.4,83,100,4.47,65.95
Codrington,75.29,73,75,4.7,-28.95
Fortuna,53.19,71,40,6.93,40.6
Berlevag,22.21,85,75,10.29,70.86
Porto-Vecchio,48.15,61,0,6.93,41.59
Araouane,61.09,19,2,8.57,18.9
Haimen,57.0,87,99,6.69,31.87
Tuktoyaktuk,-22.0,74,90,9.17,69.44
Ilulissat,6.8,71,75,11.41,69.22
Ozinki,25.41,95,90,7.14,51.2
Mackay,23.86,46,75,9.17,53.65
San Pedro,85.44,47,67,1.99,-33.68
Geraldton,14.0,85,90,8.05,49.72
Lata,13.3,71,100,5.93,30.78
Westport,37.53,48,1,16.11,41.14
Harper,73.33,16,1,6.93,30.3
Maiduguri,63.64,34,0,9.19,11.84
Namibe,73.89,90,79,11.88,-15.19
Cabo San Lucas,77.7,57,75,6.93,22.89
Maniitsoq,9.97,98,100,36.26,65.42
Narsaq,17.6,57,20,12.75,60.91
Petropavlovka,1.62,84,17,2.89,50.61
Yeppoon,80.6,65,2,6.93,-23.13
Bayji,50.74,66,76,2.33,34.93
Pisco,72.34,30,69,24.16,-13.71
Garissa,81.93,61,19,15.03,-0.46
Lumphat,66.36,77,10,6.31,13.5
Provideniya,-10.43,82,100,9.08,64.42
Hermanus,63.55,90,100,11.03,-34.42
Khatanga,-8.95,88,100,6.8,71.98
Taraclia,33.06,90,85,14.79,45.9
Ahipara,64.99,100,100,1.01,-35.17
Kargasok,9.86,94,91,8.86,59.06
Kirakira,80.55,85,100,7.85,-10.46
Inta,12.4,92,38,17.02,66.04
Saskylakh,-19.21,94,0,13.09,71.97
Petropavlovsk-Kamchatskiy,33.8,50,75,8.95,53.05
Tessalit,57.83,19,0,9.95,20.2
Mitsamiouli,82.4,74,75,4.7,-11.38
Port Elizabeth,39.07,51,90,8.05,39.31
Tautira,84.09,74,40,5.82,-17.73
Ayr,81.0,79,52,5.66,-19.58
Escalerillas,69.8,12,5,6.93,19.14
Grindavik,36.34,86,90,9.17,63.84
Espinosa,70.14,95,100,3.89,-14.92
Salalah,75.2,78,75,3.36,17.01
Hilo,70.05,57,40,8.05,19.71
Cidreira,74.61,82,0,19.3,-30.17
Trelew,74.66,17,100,17.34,-43.25
Sena Madureira,82.99,86,100,1.43,-9.07
Shache,18.88,74,100,2.57,38.42
San Andres,73.94,89,89,12.73,13.32
Santa Vitoria,81.27,91,100,3.11,-7.82
Castro,57.2,62,75,14.99,-42.48
Cordoba,96.69,18,34,6.42,-27.78
Ginda,37.4,45,100,4.07,30.69
Mehran,32.0,48,0,4.7,33.12
Dudinka,23.0,92,75,29.08,69.41
Huarmey,78.49,57,82,7.34,-10.07
Bredasdorp,64.4,68,100,8.05,-34.53
Beringovskiy,-7.46,79,89,16.67,63.05
Mahebourg,73.18,100,75,9.17,-20.41
Egvekinot,-11.54,82,55,10.6,66.32
Cherskiy,-7.71,61,5,5.35,68.75
Shuyskoye,23.68,89,100,6.44,59.37
Champerico,77.0,50,20,17.22,16.38
Vila Velha,83.1,74,40,9.17,-3.71
Alofi,84.2,74,1,13.87,-19.06
Pringsewu,72.37,97,72,2.71,-5.36
Adelaide,60.91,51,3,5.82,-34.93
Milkovo,40.33,77,90,11.41,41.53
Nikolskoye,20.95,79,81,3.47,59.7
Sandy Bay,58.03,58,20,3.36,-42.9
Porto Velho,78.8,88,40,2.24,-8.75
Lompoc,63.91,39,1,16.11,34.64
Genhe,6.75,91,100,3.38,50.78
Antalaha,77.45,90,100,12.35,-14.9
Bandarban,59.34,95,0,5.53,22.2
Tupiza,66.78,36,100,11.65,-21.44
San Cristobal,69.13,77,96,10.8,14.68
Rio Gallegos,59.0,41,40,20.8,-51.62
Tomohon,75.2,94,20,1.83,1.33
Taoudenni,58.93,17,30,10.54,22.68
Batemans Bay,59.0,84,100,7.0,-35.71
Bogatoye,29.62,97,91,6.78,53.06
Biak,81.0,79,100,8.39,-0.91
Esmeraldas,77.0,69,20,6.93,-19.76
Saint George,40.69,75,90,13.87,39.45
Ponta do Sol,75.29,84,20,4.41,-20.63
Gimli,26.55,60,37,10.0,50.63
Vila Franca do Campo,64.4,93,40,17.22,37.72
Laguna,73.4,73,75,6.93,16.17
Yelovo,21.24,96,99,6.8,57.05
Kijang,37.4,74,100,5.82,35.24
Ukiah,49.53,87,90,4.54,39.15
Caravelas,79.48,84,94,8.79,-17.73
Drovyanaya,-14.8,75,89,2.73,51.58
Tripoli,44.53,65,100,5.82,37.51
Lavrentiya,-12.98,87,19,8.32,65.58
Fairbanks,-28.84,66,75,3.36,64.84
Shar,79.2,21,100,5.23,7.3
Quesnel,33.8,74,90,4.7,52.98
Katsuura,33.33,80,40,8.05,33.93
Leningradskiy,-11.0,51,0,1.83,69.38
Ratnagiri,66.38,80,33,1.74,16.98
Isangel,84.2,62,20,17.22,-19.55
Mao,80.73,55,20,11.41,19.55
Bethel,-20.11,74,1,6.93,60.79
Portland,27.27,58,1,16.11,43.66
Lasa,53.6,82,75,8.05,34.92
Ust-Nera,-19.82,100,92,1.66,64.57
Florianopolis,78.46,78,20,11.41,-27.6
Vagur,46.53,97,100,19.93,61.47
Comodoro Rivadavia,73.4,27,40,19.46,-45.87
Eskisehir,32.0,67,75,8.05,39.78
Nova Olimpia,86.52,62,76,5.23,-14.8
Marawi,71.01,89,33,8.01,8.0
Xinqing,-1.19,96,71,1.03,48.28
Todos Santos,77.18,31,75,12.75,23.45
Nizwa,61.56,69,32,2.39,22.93
Kodiak,49.26,36,1,13.87,39.95
Pombia,49.17,37,75,8.05,35.01
Saint-Pierre,30.54,100,0,4.7,48.95
Kudat,80.22,83,75,6.93,6.89
Port-Cartier,15.42,56,40,5.82,50.03
Agadez,62.6,25,1,9.17,16.97
Norilsk,23.0,92,75,29.08,69.35
Svetlaya,20.79,54,0,15.75,46.54
Mareeba,77.79,83,40,6.93,-16.99
Saint-Philippe,19.87,73,90,8.05,45.36
Ulaangom,-15.0,84,0,2.08,49.98
Kahului,76.75,51,20,20.8,20.89
San Patricio,93.25,32,24,2.8,-26.98
Koumac,76.06,71,25,5.12,-20.56
Liepaja,39.2,63,100,16.11,56.52
Tazovskiy,14.52,91,17,16.73,67.47
Saint-Louis,69.8,35,0,4.7,16.03
Miles City,41.56,30,1,16.11,46.41
Seymchan,-14.94,100,99,1.7,62.93
Norman Wells,-25.6,74,40,2.24,65.28
Dhidhdhoo,81.39,81,11,11.03,6.88
Adwa,61.18,71,1,4.29,14.16
Ekhabi,24.75,89,100,15.82,53.51
Port Hedland,84.2,70,90,9.17,-20.31
Thompson,6.8,84,90,9.17,55.74
Sao Joao da Barra,82.4,78,75,4.7,-21.64
Homer,14.27,92,90,5.82,59.64
Hithadhoo,81.48,78,100,11.25,-0.6
Japura,72.21,96,1,2.26,-0.42
Sabha,48.22,29,0,7.85,27.03
College,-26.73,66,75,3.36,64.86
Miri,68.27,33,68,6.49,10.31
Itaituba,84.2,79,20,9.17,-4.26
Butterworth,77.67,69,20,8.05,5.4
Nueva Loja,88.86,58,75,2.24,0.08
Qaanaaq,-25.65,47,0,4.12,77.48
Evensk,-1.3,45,27,4.92,61.92
Naze,75.2,73,82,4.21,5.43
Half Moon Bay,57.34,71,1,19.46,37.46
Lewistown,44.28,53,40,20.8,40.39
Dogondoutchi,70.39,21,33,10.42,13.64
Arki,43.56,48,100,4.0,31.15
Mount Abu,59.13,39,0,5.26,24.59
Bambous Virieux,73.18,100,75,9.17,-20.34
Gobabis,76.28,47,96,12.75,-22.45
Sanchor,58.8,50,1,2.01,24.76
Trenggalek,73.49,90,76,1.34,-8.05
Tasiilaq,24.06,93,100,30.44,65.61
Makokou,74.05,81,0,2.33,0.56
Omsukchan,-7.28,52,21,1.45,62.53
Kaitangata,53.01,64,80,23.0,-46.28
Brokopondo,84.09,66,20,10.29,5.06
Khanewal,50.0,93,90,6.93,30.3
Vilyuysk,-4.4,98,98,5.48,63.75
Victoria,80.28,83,75,4.7,5.28
Orange,67.55,29,1,4.7,33.79
Pangody,13.28,92,17,13.58,65.85
Barabai,72.39,95,100,2.39,-2.59
Santa Isabel do Rio Negro,88.27,61,83,1.77,-0.41
Kindu,69.84,98,100,0.36,-2.95
Muroto,41.0,56,75,10.29,33.37
Jiwani,73.36,76,68,14.61,25.05
Cap Malheureux,73.24,100,75,9.17,-19.98
Olinda,53.94,93,90,1.12,-37.84
Abalak,61.07,20,0,12.57,15.46
Jining,39.06,90,100,8.7,35.41
Jinchang,16.32,60,88,3.51,38.52
Coquimbo,66.2,68,90,10.29,-29.95
Buraydah,50.0,53,0,2.24,26.33
Belgrade,30.2,80,0,12.75,44.82
Dalbandin,58.46,78,100,10.83,28.9
Arica,77.0,61,37,13.87,-18.48
Kresek,78.12,88,75,14.99,-6.13
Honningsvag,28.4,79,20,9.17,70.98
Launceston,60.1,67,1,4.7,-41.43
Tete,78.8,94,40,2.1,-16.16
Kamenka,33.01,85,99,3.0,48.03
Boyolangu,74.79,91,91,1.68,-8.09
Pevek,-6.29,82,0,5.59,69.7
Tiksi,-14.8,86,0,11.92,71.64
Cape Coast,82.0,54,0,9.86,5.11
Brae,48.97,93,100,23.04,60.4
Bubaque,77.5,57,5,18.01,11.28
Tomatlan,86.61,18,0,5.14,19.93
Rauma,32.0,97,90,9.17,61.13
Pyapon,71.92,85,100,6.38,16.29
Seoul,32.43,63,90,2.24,37.57
Makakilo City,78.48,78,90,6.93,21.35
Vardo,36.03,69,40,6.93,39.62
Iqaluit,-20.2,61,90,2.24,63.75
Te Anau,43.75,83,52,16.42,-45.41
Kedougou,75.2,29,0,4.7,12.56
Sehithwa,76.86,69,84,12.91,-20.47
Irasan,78.1,86,33,17.6,8.53
Porto Nacional,82.4,74,40,2.24,-10.7
Roebourne,83.19,64,69,6.55,-20.77
Inhambane,79.34,80,0,14.29,-23.87
Barcelos,90.72,53,76,2.73,-0.97
Alikalia,68.85,25,52,1.07,9.15
Moussoro,66.49,23,0,14.43,13.64
Cartagena,46.67,80,0,1.39,37.63
Marzuq,63.23,71,0,3.06,14.4
Soyo,80.01,79,81,4.21,-6.13
Lafia,77.86,22,99,3.74,8.5
Kualakapuas,74.84,96,83,1.88,-3.01
Ust-Kalmanka,14.86,74,0,1.83,52.12
Hualmay,76.48,60,47,9.42,-11.1
Calvinia,58.46,59,39,7.96,-31.47
Les Cayes,81.93,68,98,5.48,18.19
Kolyshley,33.01,74,99,2.93,52.7
Vrangel,29.25,60,18,15.48,42.73
Kieta,82.26,72,5,3.89,-6.22
Rome,43.72,39,0,5.82,41.89
Necochea,64.0,90,92,8.01,-38.55
Port Keats,80.15,85,99,7.99,-14.25
Luwuk,81.0,79,100,8.39,-0.95
Srednekolymsk,-9.17,78,10,1.77,67.46
Vikersund,32.59,98,100,6.93,59.97
Souillac,38.71,80,0,6.93,45.6
Dedovichi,26.8,88,42,4.5,57.55
Cayenne,78.8,88,90,2.24,4.94
Dunedin,54.0,53,39,35.99,-45.87
Lucea,83.64,70,20,13.87,18.44
Viedma,67.3,62,76,21.85,-40.81
Kavieng,84.27,73,56,7.54,-2.57
Mentakab,69.58,98,14,2.39,3.49
Natchez,65.61,52,1,8.05,31.56
California City,53.29,41,1,20.8,35.13
Madison,38.84,77,90,17.22,43.07
San Isidro,77.63,50,54,20.8,10.02
Komsomolskiy,9.59,94,87,15.82,67.55
Marion,60.64,51,1,10.29,35.21
Shush,19.94,86,88,6.98,55.6
Avera,54.54,37,1,8.05,33.19
Bang Racham,75.0,79,0,2.39,14.89
Natal,82.4,74,40,12.75,-5.81
Kampot,70.72,94,20,2.57,10.62
Siocon,78.01,85,48,13.94,11.03
Santa Rosa,88.9,10,67,16.62,-36.62
Alasehir,36.36,93,100,6.44,38.35
Mar del Plata,69.57,33,100,6.33,-46.43
Peace River,15.8,72,75,9.17,56.23
Katobu,75.96,92,100,3.4,-4.94
Flin Flon,8.6,78,40,8.05,54.77
Kiunga,72.99,99,100,2.46,-6.12
Askarovo,28.4,92,90,11.18,53.34
Shingu,42.87,68,0,5.64,33.72
Sinnar,59.22,52,0,5.14,19.85
Udon Thani,66.33,77,0,4.25,17.4
Broken Hill,59.0,77,100,14.99,-31.97
Shimanovsk,-16.04,98,29,2.62,52.0
Beira,39.18,100,0,4.7,43.2
Americus,55.8,30,1,5.82,32.07
Saint-Augustin,19.81,61,75,5.82,45.63
Surok,78.71,86,47,12.95,11.63
Safford,61.74,29,1,3.36,32.83
Quatre Cocos,73.22,100,75,9.17,-20.21
Oranjemund,62.89,91,0,12.39,-28.55
Taltal,65.77,68,9,5.73,-25.41
Abha,58.14,87,20,6.93,18.22
Kisangani,69.69,97,100,2.28,0.52
Auki,68.32,27,64,12.48,12.18
Si Satchanalai,75.99,59,0,3.76,17.52
Alihe,4.14,97,100,1.92,50.57
Kushiro,21.43,63,0,11.81,43.11
Arua,73.38,49,3,6.6,3.02
Deputatskiy,-17.63,82,34,0.54,69.3
Kolokani,66.52,13,5,8.3,13.58
Bongandanga,74.1,55,53,2.57,1.51
Kurilsk,20.66,89,99,22.95,45.23
Herat,41.09,89,48,6.26,34.35
Erenhot,14.32,83,20,10.07,43.65
Rio Grande,80.82,45,0,13.87,-32.03
Morondava,77.32,84,0,3.33,-20.3
Gamba,3.9,19,11,3.31,28.28
Nguruka,66.11,93,100,2.55,-5.11
Atambua,75.81,84,100,2.35,-9.11
Norrtalje,36.84,100,90,12.75,59.76
Tuatapere,52.0,72,100,25.01,-46.13
Winslow,44.98,93,90,9.17,51.94
Kuryk,40.71,62,100,13.8,43.18
Nocupetaro,88.59,16,30,4.92,19.05
Sambava,71.55,98,100,2.93,-14.27
Rexburg,23.52,85,90,6.93,43.82
Sorland,37.4,86,75,6.93,67.67
Calahorra,36.48,86,0,1.12,42.3
Santa Vitoria do Palmar,75.31,63,0,13.76,-33.52
Tabas,42.8,48,0,2.24,33.6
Drumheller,29.37,60,0,8.99,51.47
Byron Bay,77.43,73,75,4.7,-28.65
Sabla,71.19,22,24,10.76,12.75
Setermoen,21.04,79,75,19.46,68.86
Samarai,79.39,85,100,2.68,-10.62
Maple Creek,35.71,51,0,15.9,49.91
Pemba,78.8,94,75,6.93,-12.97
Okhotsk,3.43,76,0,12.03,59.36
Iskateley,16.77,90,88,17.29,67.68
Kharan,58.28,88,100,4.43,28.58
Bataipora,88.09,52,1,3.2,-22.3
Chapais,8.6,78,90,3.36,49.78
Dumabato,64.8,97,76,1.19,16.32
George,68.52,92,100,1.72,-15.35
Springdale,56.32,35,1,12.75,36.19
Luang Prabang,59.07,97,0,0.69,19.89
Grand Gaube,73.24,100,75,9.17,-20.01
Tezu,48.65,94,73,2.57,27.93
Fallbrook,66.15,42,1,3.36,33.38
Goundam,63.82,17,50,11.27,16.42
Kalmunai,81.12,77,12,13.13,7.42
Elliot Lake,28.4,92,90,10.29,46.37
Paita,62.6,100,0,13.87,-5.09
High Level,-4.0,83,90,8.05,58.52
Aguascalientes,71.6,10,40,9.17,21.88
Central Point,46.9,70,75,0.85,42.38
Mount Gambier,55.4,76,9,8.05,-37.83
Chumikan,-7.83,84,0,4.59,54.72
Ambilobe,78.42,86,100,1.59,-13.19
Port Hawkesbury,28.76,86,90,14.99,45.62
Behshahr,48.2,93,90,2.24,36.69
Riorges,31.24,92,0,3.36,46.04
Manta,30.11,61,0,1.43,45.1
Aksarka,15.76,85,0,17.25,66.56
Panguipulli,62.82,63,75,11.41,-39.64
La Grande,40.14,74,90,10.29,45.32
Santa Barbara,65.26,39,1,16.11,34.42
Poronaysk,11.8,75,0,13.51,49.22
Chimbote,80.01,58,0,11.83,-9.08
Kaliua,66.6,92,100,4.07,-5.06
Berkakit,1.69,88,100,5.75,56.58
Bet Dagan,48.56,62,1,9.17,32.0
Pangai,82.4,69,20,11.41,-19.8
Sobolevo,26.76,81,16,6.55,54.43
Yumaguzino,22.14,97,100,5.17,52.9
Nata,74.3,65,99,13.38,-20.21
Mende,32.5,68,0,4.7,44.52
Dunmore Town,68.25,73,35,23.09,25.5
Amahai,84.99,83,100,15.12,-3.31
Marsa Matruh,53.6,66,20,14.99,31.35
Kainan,34.11,56,20,13.87,34.15
Chongwe,68.0,88,70,4.7,-15.33
Usinsk,8.56,95,11,11.59,66.0
Altamira,82.9,72,64,3.09,-3.2
Talnakh,23.0,92,75,29.08,69.49
Xining,18.41,59,100,3.18,36.62
Shalya,26.73,96,100,7.7,57.25
Morro Bay,60.46,39,1,13.87,35.37
Eureka,53.76,71,40,6.93,40.8
Sunndalsora,43.68,87,75,19.46,62.68
Vernon,39.58,69,90,4.7,50.27
Porosozero,17.35,89,17,6.42,62.72
Nardaran,44.6,100,75,4.7,40.56
Cameron Park,52.93,66,1,5.82,38.68
Mayumba,81.79,84,99,1.25,-3.44
Mangrol,54.93,54,0,5.37,25.33
Haines Junction,-11.18,90,1,3.36,60.75
Warrington,45.39,81,60,8.05,53.39
Arona,38.93,68,0,2.24,45.76
Pitanga,72.64,88,0,0.81,-24.76
Termoli,39.0,53,0,3.0,42.0
Oruro,60.84,36,43,9.82,-17.97
Tandil,71.53,83,100,5.01,-37.33
Iida,25.29,84,0,2.01,35.45
Tiarei,84.09,74,40,5.82,-17.53
Nouadhibou,62.6,51,33,9.17,20.93
Arman,17.53,67,72,7.99,59.7
San Felipe,55.96,65,94,7.27,-32.75
Nizhniy Kuranakh,12.34,91,100,6.02,58.84
Cockburn Town,80.6,69,40,4.7,21.46
Inongo,75.27,77,100,4.27,-1.93
Mpulungu,64.09,90,100,1.21,-8.77
Langsa,73.62,89,95,3.06,4.47
Tanout,60.71,23,0,12.77,14.97
Carson City,41.02,24,75,10.29,39.16
Baracoa,79.07,68,0,10.63,20.35
Santa Cruz,80.19,66,98,9.89,-6.22
Bulgan,1.99,74,0,2.91,48.81
Bowen,74.57,94,75,5.82,-20.01
Dolores,88.0,49,75,1.99,-33.53
Panaba,73.53,63,91,8.88,21.28
Miragoane,80.1,74,64,14.56,18.44
Poitiers,36.7,93,0,3.36,46.58
Panacan,74.52,94,75,2.24,7.15
Sutton,43.75,48,1,12.75,40.61
Matara,57.96,91,100,1.5,-3.48
Talaya,27.21,92,75,13.42,55.79
Birin,35.1,71,0,4.63,26.89
Ciro Marina,47.5,55,71,42.01,39.37
Roald,42.93,93,75,19.46,62.58
Faanui,81.57,75,37,9.42,-16.48
Weligama,73.76,91,10,8.68,5.97
Tiznit,52.34,73,0,1.23,29.7
Buchanan,71.6,94,20,3.56,5.88
Kota Belud,76.68,83,75,3.36,6.35
Nosy Varika,74.16,92,16,4.7,-20.58
Daund,64.65,71,0,5.95,18.46
Atar,56.75,22,0,8.41,20.52
Bessonovka,33.01,74,99,2.13,53.31
Mananjary,63.59,91,46,4.83,-19.16
Petatlan,87.8,58,5,6.93,17.52
Afyonkarahisar,32.85,59,100,6.85,38.76
Nurota,37.4,93,90,4.7,40.56
Hay River,-16.6,75,75,4.7,60.82
Port Blair,80.74,78,0,13.67,11.67
Port-Gentil,82.4,88,40,8.05,-0.72
Smithers,30.2,74,75,3.36,54.78
Ushtobe,20.82,63,0,3.4,45.25
Moerai,78.55,77,99,3.11,-22.43
Waipawa,64.99,55,0,25.01,-39.94
General Cepeda,71.06,43,5,5.21,25.38
Maningrida,78.26,88,100,4.23,-12.05
Kautokeino,13.19,92,100,17.67,69.01
Ossora,7.0,96,96,4.07,59.24
Bodden Town,80.11,74,40,12.75,19.28
Ormara,72.48,71,33,7.0,25.21
Kearney,41.36,60,1,3.36,40.7
Grenaa,42.64,87,100,8.05,56.42
Port Hardy,37.4,93,40,8.05,50.7
Placido de Castro,80.46,86,100,3.27,-10.34
Pangnirtung,-29.2,43,75,4.7,66.15
Najran,73.4,49,0,6.93,17.54
Toora-Khem,-4.76,95,98,1.83,52.47
Tobermory,31.86,80,98,11.48,45.25
Teguldet,22.41,94,100,7.94,57.31
Goure,64.0,27,25,8.99,13.98
Norsup,82.38,94,36,12.75,-16.07
Molchanovo,15.13,93,72,8.9,57.58
Lunenburg,28.72,92,100,1.01,44.38
